title,date,link,weekendRevenue,weekendScreens,firstRevenue,firstScreens,multipleTables
Codebreaker,10/17/2012,/movies/?id=codebreaker.htm,-1,-2,-3,-4,False
Camp X-Ray,10/17/2014,/movies/?id=campxray.htm,"$1,400",1,-3,-4,False
Listen Up Philip,10/17/2014,/movies/?id=listenupphilip.htm,"$24,200",2,-3,-4,False
Guardian Angel,10/17/2014,/movies/?id=guardianangel.htm,"$13,100",2,-3,-4,False
The Best of Me,10/17/2014,/movies/?id=bestofme.htm,"$10,377,500","2,936","$4,286,200","2,936",True
The Book of Life (2014),10/17/2014,/movies/?id=bookoflife14.htm,"$17,640,400","3,071","$5,172,600","3,071",True
Birdman,10/17/2014,/movies/?id=birdman.htm,"$440,200",4,"$140,700",4,True
Watchers of the Sky,10/17/2014,/movies/?id=watchersofthesky.htm,"$7,800",4,-3,-4,False
Dear White People,10/17/2014,/movies/?id=dearwhitepeople.htm,"$361,000",11,"$130,800",11,True
The Hacker Wars,10/17/2014,/movies/?id=hackerwars.htm,"$3,100",1,-3,-4,False
Stations of the Elevated,10/17/2014,/movies/?id=stationsoftheelevated.htm,"$9,800",1,$500,1,False
Young Ones,10/17/2014,/movies/?id=youngones.htm,-1,-2,-3,-4,False
Hiroshima Mon Amour (2014 re-release),10/17/2014,/movies/?id=hiroshimamonamour.htm,"$19,200",5,"$5,400",5,True
Algorithms,10/17/2014,/movies/?id=algorithms.htm,$300,1,-3,-4,False
A Matter of Faith,10/17/2014,/movies/?id=matteroffaith.htm,"$143,900",25,-3,-4,True
Eternity the Movie,10/17/2014,/movies/?id=eternitythemovie.htm,"$1,600",1,-3,-4,False
The Golden Era,10/17/2014,/movies/?id=goldenera.htm,"$52,100",15,-3,-4,False
Rudderless,10/17/2014,/movies/?id=rudderless.htm,"$38,800",18,-3,-4,False
God the Father,10/17/2014,/movies/?id=godthefather.htm,"$15,600",1,-3,-4,False
The Tale of The Princess Kaguya,10/17/2014,/movies/?id=princesskaguya.htm,"$57,000",3,"$14,300",3,True
Fury (2014),10/17/2014,/movies/?id=fury2014.htm,"$24,587,700","3,173","$9,152,700","3,173",True
All Is Lost,10/18/2013,/movies/?id=allislost.htm,"$96,500",6,"$25,700",6,True
Birth of the Living Dead,10/18/2013,/movies/?id=birthofthelivingdead.htm,"$1,300",6,-3,-4,False
American Promise,10/18/2013,/movies/?id=americanpromise.htm,"$18,900(Estimate)",2,-3,-4,False
2 Jacks,10/18/2013,/movies/?id=2jacks.htm,-1,-2,-3,-4,False
The Human Scale,10/18/2013,/movies/?id=humanscale.htm,$700,3,-3,-4,False
Escape Plan,10/18/2013,/movies/?id=tomb.htm,"$10,193,600","2,883","$3,504,100","2,883",True
BoyBand (2013),10/18/2013,/movies/?id=boyband13.htm,"$3,100",1,-3,-4,False
Shahid,10/18/2013,/movies/?id=shahid.htm,"$12,500",16,"$3,900",16,False
Carrie (2013),10/18/2013,/movies/?id=carrie2013.htm,"$16,602,900","3,157","$6,718,400","3,157",False
Big Ass Spider!,10/18/2013,/movies/?id=bigassspider.htm,-1,-2,-3,-4,False
12 Years a Slave,10/18/2013,/movies/?id=twelveyearsaslave.htm,"$952,500",19,"$282,400",19,True
Torn,10/18/2013,/movies/?id=torn.htm,"$5,000",1,"$2,300",1,False
Beyond the Farthest Star,10/18/2013,/movies/?id=beyondthefartheststar.htm,-1,-2,-3,-4,False
The Snitch Cartel,10/18/2013,/movies/?id=snitchcartel.htm,-1,-2,-3,-4,False
The Fifth Estate,10/18/2013,/movies/?id=fifthestate.htm,"$1,725,500","1,769","$607,700","1,769",False
Seasons of Gray,10/18/2013,/movies/?id=seasonsofgray.htm,"$32,900",24,-3,-4,False
I'm In Love With a Church Girl,10/18/2013,/movies/?id=churchgirl.htm,"$1,002,100",457,"$360,700",457,False
The Ten Commandments (2007),10/19/2007,/movies/?id=tencommandments07.htm,"$599,300",830,"$184,000",830,False
Black White + Gray: A Portrait of Sam Wagstaff and Robert Mapplethorpe,10/19/2007,/movies/?id=blackwhitegraydoc.htm,"$4,800",1,-3,-4,False
Out of the Blue,10/19/2007,/movies/?id=outoftheblue.htm,$900,1,-3,-4,False
Tim Burton's The Nightmare Before Christmas in Disney Digital 3-D (2007 re-issue),10/19/2007,/movies/?id=nbc3d07.htm,"$6,670,400",564,"$2,322,900",564,False
Reservation Road,10/19/2007,/movies/?id=reservationroad.htm,"$45,400",13,"$14,000",13,False
Moondance Alexander,10/19/2007,/movies/?id=moondancealexander.htm,"$21,800",14,-3,-4,False
Things We Lost in the Fire,10/19/2007,/movies/?id=thingswelostinthefire.htm,"$1,954,700","1,142","$632,100","1,142",False
DarkBlueAlmostBlack,10/19/2007,/movies/?id=darkbluealmostblack.htm,"$2,400",1,-3,-4,False
Local Color,10/19/2007,/movies/?id=localcolor.htm,"$9,000",1,"$3,100",1,False
Sarah Landon and the Paranormal Hour,10/19/2007,/movies/?id=sarahlandon.htm,"$733,700","1,121","$255,300","1,121",False
Controlled Chaos (re-issue),10/19/2007,/movies/?id=controlledchaos07.htm,"$5,000",1,-3,-4,False
The Comebacks,10/19/2007,/movies/?id=comebacks.htm,"$6,951,300","2,812","$2,657,800","2,812",False
Wristcutters: A Love Story,10/19/2007,/movies/?id=wristcutters.htm,"$53,600",3,-3,-4,False
30 Days of Night,10/19/2007,/movies/?id=30daysofnight.htm,"$19,963,100","2,855","$7,824,000","2,855",False
Gone Baby Gone,10/19/2007,/movies/?id=gonebabygone.htm,"$6,884,800","1,713","$2,422,800","1,713",False
Rendition,10/19/2007,/movies/?id=rendition.htm,"$5,080,900","2,250","$1,779,600","2,250",False
Meeting Resistance,10/19/2007,/movies/?id=meetingresistance.htm,"$9,700",2,-3,-4,False
The Catechism Cataclysm,10/19/2011,/movies/?id=catechismcataclysm.htm,"$1,000",1,-3,-4,False
Paul Goodman Changed My Life,10/19/2011,/movies/?id=paulgoodman.htm,"$6,300",1,-3,-4,True
Student of the Year,10/19/2012,/movies/?id=studentoftheyear.htm,"$349,200",106,-3,-4,False
All Together,10/19/2012,/movies/?id=alltogether.htm,"$13,800",10,-3,-4,True
Tai Chi Zero,10/19/2012,/movies/?id=taichi.htm,"$91,000",31,-3,-4,False
The Flat,10/19/2012,/movies/?id=flat.htm,"$21,300",3,-3,-4,True
The First Time,10/19/2012,/movies/?id=firsttime.htm,"$18,200",19,-3,-4,False
Paranormal Activity 4,10/19/2012,/movies/?id=paranormalactivity4.htm,"$31,021,500","3,412","$16,161,200","3,412",False
Hating Breitbart,10/19/2012,/movies/?id=hatingbreitbart.htm,"$43,500",4,-3,-4,False
Brooklyn Castle,10/19/2012,/movies/?id=brooklyncastle.htm,"$20,100",2,-3,-4,True
Alex Cross,10/19/2012,/movies/?id=alexcross.htm,"$12,189,600","2,539","$4,310,400","2,539",False
Puella Magi Madoka Magica the Movie,10/19/2012,/movies/?id=puellamagi.htm,"$66,700",5,-3,-4,True
Bestiaire,10/19/2012,/movies/?id=bestiaire.htm,$400,2,-3,-4,False
When the Iron Bird Flies,10/19/2012,/movies/?id=whentheironbirdflies.htm,$100,1,-3,-4,False
My Worst Nightmare,10/19/2012,/movies/?id=myworstnightmare.htm,"$1,200",1,-3,-4,True
Nobody Walks,10/19/2012,/movies/?id=nobodywalks.htm,"$7,800",2,-3,-4,False
The Sessions,10/19/2012,/movies/?id=sixsessions.htm,"$121,400",4,"$36,700",4,True
Michael Moore In TrumpLand,10/19/2016,/movies/?id=trumpland.htm,"$50,800(Estimate)",2,-3,-4,False
Untitled Blumhouse Horror Project II (2018),10/19/2018,/movies/?id=blumhousehorror2018b.htm,-1,-2,-3,-4,False
Jungle Book: Origins,10/19/2018,/movies/?id=junglebook2016.htm,-1,-2,-3,-4,False
Kidnap,10/2/2008,/movies/?id=kidnap08.htm,-1,-2,-3,-4,False
Drona,10/2/2008,/movies/?id=drona.htm,"$239,000",90,-3,-4,False
Zombieland,10/2/2009,/movies/?id=zombieland.htm,"$27,983,200","3,036","$10,691,300","3,036",False
Whip It,10/2/2009,/movies/?id=whipit.htm,"$5,262,000","1,721","$1,809,100","1,721",False
Toy Story / Toy Story 2 (3D),10/2/2009,/movies/?id=toystory3d.htm,"$14,133,300","1,745","$3,681,700","1,745",False
Do Knot Disturb,10/2/2009,/movies/?id=doknotdisturb.htm,"$141,100",57,"$40,100",57,False
A Serious Man,10/2/2009,/movies/?id=seriousman.htm,"$284,400",6,"$82,600",6,True
More Than a Game,10/2/2009,/movies/?id=morethanagame.htm,"$207,000",14,"$104,300",14,False
Afterschool,10/2/2009,/movies/?id=afterschool.htm,"$2,900",1,-3,-4,False
Chelsea on the Rocks,10/2/2009,/movies/?id=chelseaontherocks.htm,"$4,800",1,"$2,300",1,False
Fallen Idol: The Yuri Gagarin Conspiracy,10/2/2009,/movies/?id=fallenidolyurigagarinconspiracy.htm,"$2,900",2,-3,-4,True
Wake Up Sid,10/2/2009,/movies/?id=wakeupsid.htm,"$402,300",79,"$115,900",79,False
The Invention of Lying,10/2/2009,/movies/?id=inventionoflying.htm,"$7,950,900","1,707","$2,808,400","1,707",False
Besharam,10/2/2013,/movies/?id=besharam.htm,"$376,300",217,"$73,900",217,False
Murder 11,10/2/2013,/movies/?id=murder11.htm,"$8,400",2,-3,-4,False
Let the Fire Burn,10/2/2013,/movies/?id=letthefireburn.htm,"$5,400",1,-3,-4,False
Haider,10/2/2014,/movies/?id=haider.htm,"$527,100",119,"$42,800",119,False
Bang Bang,10/2/2014,/movies/?id=bangbang.htm,"$1,326,400",271,"$176,900",271,False
Northern Soul,10/2/2015,/movies/?id=northernsoul.htm,"$6,700",10,"$4,500",10,False
Going Away,10/2/2015,/movies/?id=goingaway.htm,"$7,600",1,-3,-4,False
He Named Me Malala,10/2/2015,/movies/?id=malala.htm,"$61,200",4,"$28,100",4,False
Jafar Panahi's Taxi,10/2/2015,/movies/?id=taxitehran.htm,"$22,300",3,-3,-4,True
The Martian,10/2/2015,/movies/?id=scott2016.htm,"$53,746,800","3,831","$17,958,000","3,831",True
Freeheld,10/2/2015,/movies/?id=freeheld.htm,"$37,600",5,"$13,900",5,False
Partisan,10/2/2015,/movies/?id=partisan.htm,-1,-2,-3,-4,False
Shout Gladi Gladi,10/2/2015,/movies/?id=shoutgladigladi.htm,"$5,000",2,-3,-4,False
Hell and Back,10/2/2015,/movies/?id=hellandback.htm,"$103,300",411,"$31,400",411,False
Saving Mr. Wu,10/2/2015,/movies/?id=savingmrwu.htm,"$13,500",7,-3,-4,False
Talvar,10/2/2015,/movies/?id=talvar.htm,"$143,200",51,"$37,500",51,False
Singh is Bling,10/2/2015,/movies/?id=singhisbliing.htm,"$482,000",135,-3,-4,False
Shanghai,10/2/2015,/movies/?id=shanghai.htm,"$26,300",103,"$7,700",103,False
Attack on Titan: Part 2,10/20/2015,/movies/?id=attackontitanpart2.htm,"$12,700",230,"$131,300",230,False
Wildflower (Secretos del Alma),10/20/2016,/movies/?id=wildflower.htm,"$9,300",8,"$2,400",8,False
The Mountain Between Us,10/20/2017,/movies/?id=mountainbetweenus.htm,-1,-2,-3,-4,False
Geostorm,10/20/2017,/movies/?id=geostorm.htm,-1,-2,-3,-4,False
Insidious: Chapter 4,10/20/2017,/movies/?id=insidious4.htm,-1,-2,-3,-4,False
Revenge of the Electric Car,10/21/2011,/movies/?id=revengeoftheelectriccar.htm,"$19,200",2,-3,-4,False
The Mighty Macs,10/21/2011,/movies/?id=mightymacs.htm,"$1,059,200",975,"$381,400",975,False
The Afflicted,10/21/2011,/movies/?id=afflicted.htm,"$99,300",13,-3,-4,False
Martha Marcy May Marlene,10/21/2011,/movies/?id=marthamarcymaymarlene.htm,"$151,400",4,"$16,100",4,False
Elevate,10/21/2011,/movies/?id=elevate.htm,"$3,900",1,-3,-4,False
Snowmen,10/21/2011,/movies/?id=snowmen.htm,"$59,700",16,"$17,500",16,False
Le Havre,10/21/2011,/movies/?id=lehavre.htm,"$29,000",6,-3,-4,True
The Last Ride,10/21/2011,/movies/?id=lastride.htm,"$17,900",7,-3,-4,False
Paranormal Activity 3,10/21/2011,/movies/?id=paranormalactivity3.htm,"$57,804,900","3,321","$28,926,200","3,321",False
Being Elmo: A Puppeteer's Journey,10/21/2011,/movies/?id=beingelmo.htm,"$25,300",1,-3,-4,True
Oranges and Sunshine,10/21/2011,/movies/?id=orangesandsunshine.htm,"$20,500(Estimate)",4,-3,-4,False
Johnny English Reborn,10/21/2011,/movies/?id=johnnyenglish2.htm,"$4,215,200","1,552","$1,279,800","1,552",False
The Three Musketeers (2011),10/21/2011,/movies/?id=threemusketeers11.htm,"$9,538,600","3,017","$3,265,500","3,017",False
Balls to the Wall,10/21/2011,/movies/?id=ballstothewall.htm,"$3,500",10,-3,-4,False
Margin Call,10/21/2011,/movies/?id=margincall.htm,"$617,900",56,"$186,200",56,True
Heart of a Dog,10/21/2015,/movies/?id=heartofadog.htm,"$13,700",1,-3,-4,True
Back to the Future Day,10/21/2015,/movies/?id=backtothefutureday.htm,-1,-2,"$1,632,900","1,815",False
Good Kids,10/21/2016,/movies/?id=goodkids.htm,-1,-2,-3,-4,False
American Pastoral,10/21/2016,/movies/?id=americanpastoral.htm,"$150,800",50,"$48,900",50,False
I'm Not Ashamed,10/21/2016,/movies/?id=imnotashamed.htm,"$938,100",505,"$335,800",505,False
Moonlight (2016),10/21/2016,/movies/?id=moonlight2016.htm,"$406,800",4,"$133,000",4,False
"Ugly, Dirty and Bad (Re-Release)",10/21/2016,/movies/?id=uglydirtyandbadre.htm,"$5,000",1,-3,-4,False
King Cobra,10/21/2016,/movies/?id=kingcobra.htm,"$11,800",1,-3,-4,False
It Had to be You,10/21/2016,/movies/?id=ithadtobeyou.htm,"$5,400",2,$800,1,False
Ouija: Origin of Evil,10/21/2016,/movies/?id=blumhouse3.htm,"$14,230,800","3,167","$5,574,400","3,167",False
The Uncondemned,10/21/2016,/movies/?id=uncondemned.htm,"$4,400",1,-3,-4,False
Autumn Lights,10/21/2016,/movies/?id=autumnlights.htm,-1,-2,-3,-4,False
We Are X,10/21/2016,/movies/?id=wearex.htm,"$7,600",1,-3,-4,False
In a Valley of Violence,10/21/2016,/movies/?id=inavalleyofviolence.htm,"$29,700",33,"$10,800",33,False
Boo! A Madea Halloween,10/21/2016,/movies/?id=booamadeahalloween.htm,"$28,836,400","2,260","$9,581,500","2,260",False
El Jeremias,10/21/2016,/movies/?id=eljeremias.htm,"$317,800",192,"$79,600",192,False
ISM,10/21/2016,/movies/?id=ism.htm,"$121,600",79,"$73,000",79,False
The Handmaiden,10/21/2016,/movies/?id=thehandmaiden.htm,"$93,200",5,-3,-4,False
Keeping Up with the Joneses,10/21/2016,/movies/?id=keepingupjoneses.htm,"$5,525,700","3,022","$2,003,000","3,022",False
Tampopo (2016 re-release),10/21/2016,/movies/?id=tampopo2016.htm,"$16,600",1,-3,-4,False
Spices of Liberty,10/21/2016,/movies/?id=spicesofliberty.htm,"$6,700(Estimate)",1,"$5,600",1,False
Luck-Key,10/21/2016,/movies/?id=luckkey.htm,"$115,200",21,"$24,900",25,False
Jack Reacher: Never Go Back,10/21/2016,/movies/?id=jackreacher2.htm,"$23,141,300","3,780","$8,952,100","3,780",False
Fear(s) of the Dark,10/22/2008,/movies/?id=fearsofthedark.htm,"$7,300",1,-3,-4,False
Stranded: I Have Come from a Plane That Crashed on the Mountains,10/22/2008,/movies/?id=stranded.htm,"$3,700",1,-3,-4,True
Paranormal Activity 2,10/22/2010,/movies/?id=paranormalactivity2.htm,"$43,725,500","3,216","$21,615,600","3,216",True
BearCity,10/22/2010,/movies/?id=bearcity.htm,"$6,400",1,-3,-4,False
Inhale,10/22/2010,/movies/?id=inhale.htm,"$3,300",2,-3,-4,False
Boxing Gym,10/22/2010,/movies/?id=boxinggym.htm,"$6,000",5,-3,-4,False
The Taqwacores,10/22/2010,/movies/?id=taqwacores.htm,"$3,800",1,-3,-4,True
Rising Stars,10/22/2010,/movies/?id=risingstars.htm,-1,-2,-3,-4,False
Kalamity,10/22/2010,/movies/?id=kalamity.htm,-1,-2,-3,-4,False
Shaandaar,10/22/2015,/movies/?id=shaandaar.htm,"$380,700",136,"$48,400",136,False
Tim Burton's The Nightmare Before Christmas in 3-D (2009 re-issue),10/23/2009,/movies/?id=nbc3d09.htm,"$162,100",105,-3,-4,False
The Canyon,10/23/2009,/movies/?id=canyon09.htm,"$2,000",2,-3,-4,False
Ong Bak 2: The Beginning,10/23/2009,/movies/?id=ongbak2.htm,"$30,100",10,-3,-4,False
(Untitled),10/23/2009,/movies/?id=untitled.htm,"$20,400",3,-3,-4,False
Amelia,10/23/2009,/movies/?id=amelia.htm,"$4,417,100",820,"$1,494,700",820,True
The Little Traitor,10/23/2009,/movies/?id=thelittletraitor.htm,"$2,600",1,$600,1,True
Antichrist,10/23/2009,/movies/?id=antichrist.htm,"$80,800",6,-3,-4,False
Motherhood,10/23/2009,/movies/?id=motherhood.htm,"$56,700",48,"$18,600",48,False
Cirque du Freak: The Vampire's Assistant,10/23/2009,/movies/?id=cirquedufreak.htm,"$7,120,200","2,754","$2,523,900","2,754",False
Saw VI,10/23/2009,/movies/?id=saw6.htm,"$15,973,700","3,036","$7,871,500","3,036",False
Astro Boy,10/23/2009,/movies/?id=astroboy.htm,"$7,583,700","3,014","$2,062,800","3,014",True
Killing Kasztner,10/23/2009,/movies/?id=killingkasztner.htm,"$6,200",1,-3,-4,True
Bastards,10/23/2013,/movies/?id=bastards.htm,"$4,600",1,-3,-4,False
Nasty Baby,10/23/2015,/movies/?id=nastybaby.htm,"$7,900(Estimate)",2,-3,-4,False
Jem and the Holograms,10/23/2015,/movies/?id=jemandtheholograms.htm,"$1,361,100","2,413","$453,900","2,413",False
Julia (2015),10/23/2015,/movies/?id=julia2015.htm,"$2,100",5,-3,-4,False
Rock The Kasbah,10/23/2015,/movies/?id=rockthekasbah.htm,"$1,455,400","2,012","$527,600","2,012",False
The Last Witch Hunter,10/23/2015,/movies/?id=lastwitchhunter.htm,"$10,701,000","3,082","$3,731,900","3,082",False
The Looking Glass,10/23/2015,/movies/?id=thelookingglass.htm,$100,2,-3,-4,False
Paranormal Activity: The Ghost Dimension,10/23/2015,/movies/?id=paranormalactivity2014.htm,"$7,987,000","1,656","$3,268,000","1,656",False
Suffragette,10/23/2015,/movies/?id=suffragette.htm,"$75,500",4,"$22,400",4,True
Pearl Button,10/23/2015,/movies/?id=pearlbutton.htm,$200,1,-3,-4,False
The Advocate: A Missing Body,10/23/2015,/movies/?id=advocateamissingbody.htm,"$19,600",9,-3,-4,False
Difret,10/23/2015,/movies/?id=difret.htm,"$6,700",1,-3,-4,False
I Smile Back,10/23/2015,/movies/?id=ismileback.htm,"$15,600",2,-3,-4,False
Extraordinary Tales,10/23/2015,/movies/?id=extraordinarytales.htm,-1,-2,-3,-4,False
blackhats (2015),10/23/2015,/movies/?id=blackhats2015.htm,"$2,500",1,"$1,500",1,False
Friends and Romans,10/23/2015,/movies/?id=friendsandromans.htm,-1,-2,-3,-4,False
Lagerfeld Confidential,10/24/2007,/movies/?id=lagerfeldconfidential.htm,"$14,400",1,-3,-4,True
Noah's Arc: Jumping the Broom,10/24/2008,/movies/?id=noahsarc.htm,"$181,500",5,"$64,600",5,False
God and Gays: Bridging the Gap,10/24/2008,/movies/?id=godandgays.htm,"$1,800",2,-3,-4,False
Saw V,10/24/2008,/movies/?id=saw5.htm,"$36,039,600","3,060","$17,203,100","3,060",False
Let the Right One In (2008),10/24/2008,/movies/?id=lettherightonein.htm,"$59,100",4,-3,-4,True
Passengers,10/24/2008,/movies/?id=passengers.htm,"$206,900",125,"$71,900",125,False
Tim Burton's The Nightmare Before Christmas in 3-D (2008 re-issue),10/24/2008,/movies/?id=nbc3d08.htm,"$477,800",284,"$138,500",284,False
Heroes (2008),10/24/2008,/movies/?id=heroes08.htm,"$391,400",60,-3,-4,False
High School Musical 3: Senior Year,10/24/2008,/movies/?id=highschoolmusical3.htm,"$50,401,100","3,623","$20,339,500","3,623",True
Pride & Glory,10/24/2008,/movies/?id=prideandglory.htm,"$7,509,600","2,585","$2,768,800","2,585",False
Roadside Romeo,10/24/2008,/movies/?id=roadsideromeo.htm,"$50,100",29,-3,-4,False
"Live Fast, Die Young",10/24/2008,/movies/?id=livefastdieyoung.htm,"$11,800",1,"$2,600",1,True
The Universe of Keith Haring,10/24/2008,/movies/?id=universeofkeithharing.htm,-1,-2,-3,-4,False
"Synecdoche, New York",10/24/2008,/movies/?id=synecdochenewyork.htm,"$206,500",9,-3,-4,True
Changeling,10/24/2008,/movies/?id=changeling08.htm,"$586,400",15,"$175,100",15,True
Ben X,10/24/2008,/movies/?id=benx.htm,"$1,100",1,-3,-4,False
I've Loved You So Long,10/24/2008,/movies/?id=ivelovedyousolong.htm,"$86,600",9,-3,-4,True
The Zen of Bennett,10/24/2012,/movies/?id=zenofbennett.htm,-1,-2,-3,-4,False
Chakravyuh,10/24/2012,/movies/?id=chakravyuh.htm,"$104,700",79,-3,-4,False
White Bird in a Blizzard,10/24/2014,/movies/?id=whitebirdinablizzard.htm,"$6,500",4,-3,-4,False
Life of Riley,10/24/2014,/movies/?id=lifeofriley.htm,-1,-2,-3,-4,False
The Principle,10/24/2014,/movies/?id=principle.htm,"$9,000",1,-3,-4,True
Revenge of the Green Dragons,10/24/2014,/movies/?id=greendragons.htm,-1,-2,-3,-4,False
Rhymes for Young Ghouls,10/24/2014,/movies/?id=rhymesyoungghouls.htm,$100,2,-3,-4,False
John Wick,10/24/2014,/movies/?id=johnwick.htm,"$14,954,300","2,589","$5,653,100","2,589",True
Glen Campbell... I'll Be Me,10/24/2014,/movies/?id=glencampbell.htm,"$90,000",10,-3,-4,False
Citizenfour,10/24/2014,/movies/?id=citizenfour.htm,"$131,000",5,"$44,500",5,True
Laggies,10/24/2014,/movies/?id=laggies.htm,"$76,900",5,-3,-4,False
History of Jazz: Oxygen for the Ears,10/24/2014,/movies/?id=historyofjazz.htm,"$7,800",3,-3,-4,True
Ouija,10/24/2014,/movies/?id=ouija.htm,"$20,618,400","2,858","$8,611,500","2,858",False
"1,000 Times Good Night",10/24/2014,/movies/?id=1000times.htm,"$25,000",24,-3,-4,False
Goodbye to Language,10/24/2014,/movies/?id=goodbyetolanguage.htm,-1,-2,-3,-4,False
Two-Bit Waltz,10/24/2014,/movies/?id=twobitwaltz.htm,$100,1,-3,-4,True
Force Majeure,10/24/2014,/movies/?id=forcemajeure.htm,"$24,200",2,-3,-4,True
23 Blast,10/24/2014,/movies/?id=23blast.htm,"$349,700",617,-3,-4,False
Low Down,10/24/2014,/movies/?id=lowdown.htm,"$5,500",1,-3,-4,False
Long Shot: The Kevin Laue Story (2013),10/25/2013,/movies/?id=longshot2013.htm,"$7,200",1,"$2,800",1,False
The Square (2013),10/25/2013,/movies/?id=square2013.htm,"$16,900",1,-3,-4,True
Capital,10/25/2013,/movies/?id=capital.htm,"$23,100(Estimate)",2,-3,-4,False
Caucus,10/25/2013,/movies/?id=caucus.htm,"$2,400(Estimate)",1,-3,-4,False
Jackass Presents: Bad Grandpa,10/25/2013,/movies/?id=badgrandpa.htm,"$33,053,300","3,336","$12,951,300","3,336",True
Spinning Plates,10/25/2013,/movies/?id=spinningplates.htm,"$21,400",3,"$7,000",3,False
The Counselor,10/25/2013,/movies/?id=counselor.htm,"$8,087,100","3,044","$3,227,500","3,044",True
Blue Is the Warmest Color,10/25/2013,/movies/?id=bluewarm.htm,"$103,400",4,-3,-4,True
Black Irish,10/26/2007,/movies/?id=blackirish.htm,"$8,600",5,-3,-4,False
Dan in Real Life,10/26/2007,/movies/?id=daninreallife.htm,"$14,779,000","1,921","$5,214,900","1,921",True
Bella,10/26/2007,/movies/?id=bella.htm,"$1,662,500",165,"$515,300",165,True
Saw IV,10/26/2007,/movies/?id=saw4.htm,"$39,742,100","3,183","$18,466,400","3,183",False
Music Within,10/26/2007,/movies/?id=musicwithin.htm,"$66,000",17,"$30,000",17,False
Mr. Untouchable,10/26/2007,/movies/?id=mruntouchable.htm,"$60,400",26,-3,-4,False
Slipstream,10/26/2007,/movies/?id=slipstream.htm,"$7,900",6,-3,-4,False
How to Cook Your Life,10/26/2007,/movies/?id=howtocookyourlife.htm,"$10,900",4,-3,-4,True
Before the Devil Knows You're Dead,10/26/2007,/movies/?id=beforethedevilknowsyouredead.htm,"$92,400",2,"$117,600",43,True
Pete Seeger: The Power of Song,10/26/2007,/movies/?id=peteseeger.htm,"$14,900",1,"$4,000",1,False
Jimmy Carter Man from Plains,10/26/2007,/movies/?id=jimmycartermanfromplains.htm,"$13,000",7,-3,-4,True
Rails & Ties,10/26/2007,/movies/?id=railsandties.htm,"$13,800",5,"$4,000",5,False
RA One,10/26/2011,/movies/?id=raone.htm,"$422,700",189,-3,-4,False
Sidewalls,10/26/2011,/movies/?id=sidewalls.htm,"$1,400",1,-3,-4,False
The Loneliest Planet,10/26/2012,/movies/?id=loneliestplanet.htm,"$16,800",2,-3,-4,False
The Ghastly Love of Johnny X,10/26/2012,/movies/?id=ghastlylove.htm,$100,1,-3,-4,True
Pusher (2012),10/26/2012,/movies/?id=pusher2012.htm,-1,-2,-3,-4,False
Fun Size,10/26/2012,/movies/?id=funsize.htm,"$4,386,300","3,014","$1,428,700","3,014",False
The Other Son,10/26/2012,/movies/?id=otherson.htm,"$134,400",41,-3,-4,True
Bad Blood the Hunger,10/26/2012,/movies/?id=badbloodthehunger.htm,"$2,000",10,-3,-4,False
The Last Fall,10/26/2012,/movies/?id=lastfall.htm,"$6,500(Estimate)",1,-3,-4,False
In Over My Head,10/26/2012,/movies/?id=inovermyhead.htm,"$8,000",1,-3,-4,False
Chasing Mavericks,10/26/2012,/movies/?id=ofmenandmavericks.htm,"$2,426,100","2,002","$884,600","2,002",True
Silent Hill: Revelation 3D,10/26/2012,/movies/?id=silenthill2.htm,"$8,581,200","2,933","$3,818,400","2,933",False
El Milagro De Marcelino Pan,10/26/2012,/movies/?id=elmilagrodemarcelinopan.htm,"$18,300",1,$600,1,False
Cloud Atlas,10/26/2012,/movies/?id=cloudatlas.htm,"$10,280,900","2,008","$3,638,900","2,008",True
District of Corruption,10/26/2012,/movies/?id=districtofcorruption.htm,"$26,800",3,-3,-4,False
Orchestra of Exiles,10/26/2012,/movies/?id=orchestraofexiles.htm,"$7,200",1,-3,-4,True
Long Shot: The Kevin Laue Story,10/26/2012,/movies/?id=longshot2012.htm,"$17,100",1,"$6,400",1,False
Oasis: Supersonic,10/26/2016,/movies/?id=oasissupersonic.htm,"$17,100",14,"$207,300",106,False
Strange Powers: Stephin Merritt and the Magnetic Fields,10/27/2010,/movies/?id=strangepowers.htm,"$5,000",1,-3,-4,True
Recovery,10/27/2016,/movies/?id=recovery.htm,-1,-2,-3,-4,False
Untitled Saw Film,10/27/2017,/movies/?id=saw2017.htm,-1,-2,-3,-4,False
Michael Jackson's This Is It,10/28/2009,/movies/?id=michaeljacksonthisisit.htm,"$26,287,500","3,481","$8,424,100","3,481",False
And They're Off,10/28/2011,/movies/?id=andtheyreoff.htm,"$5,700",10,-3,-4,False
October Baby,10/28/2011,/movies/?id=octoberbaby.htm,"$112,300",13,-3,-4,False
Restitution,10/28/2011,/movies/?id=restitution.htm,"$2,000",1,-3,-4,False
Inkubus,10/28/2011,/movies/?id=inkubus.htm,-1,-2,-3,-4,False
Puss in Boots,10/28/2011,/movies/?id=pussinboots12.htm,"$37,472,100","3,952","$10,522,400","3,952",True
Inni,10/28/2011,/movies/?id=inni.htm,"$16,400",3,-3,-4,True
Like Crazy,10/28/2011,/movies/?id=likecrazy.htm,"$135,400",4,"$44,800",4,True
Janie Jones,10/28/2011,/movies/?id=janiejones.htm,-1,-2,-3,-4,False
